	Confirmed derivation	NEW SUFFIX	Zero	Derivation_Direction	V literal	N literal	Morphosemantic relation	V synset	V gloss	N synset	N gloss	MS - in standoff files / NEW_LIT_PAIR_REL - new pair of literals in already connected synsets / NEW_PAIR_REL - new pair of literals in unconnected synsets
8232	YES	ion	FALSE		prevaricate	prevarication	by-means-of	eng-30-00835506-v	be deliberately ambiguous or unclear in order to mislead or withhold information	eng-30-06756831-n	a statement that deviates from or perverts the truth	MS
8233	YES	or	FALSE		preempt	preemptor	agent	eng-30-02301321-v	make a preemptive bid in the game of bridge	eng-30-10464870-n	a bidder in bridge who makes a preemptive bid	MS
8234	YES	er	FALSE		skip	skipper	agent	eng-30-02613860-v	intentionally fail to attend	eng-30-10607824-n	a student who fails to attend classes	MS
8235	YES	er	FALSE		reform	reformer	instrument	eng-30-00265941-v	break up the molecules of	eng-30-04070003-n	an apparatus that reforms the molecular structure of hydrocarbons to produce richer fuel	MS
8236	YES		TRUE	ZeroV	cant	cant	result	eng-30-01884577-v	heel over	eng-30-02833576-n	two surfaces meeting at an angle different from 90 degrees	MS
8237	YES	ion	FALSE		infatuate	infatuation	event	eng-30-01760677-v	arouse unreasoning love or passion in and cause to behave in an irrational way	eng-30-07481084-n	a foolish and usually extravagant passion or love or admiration	MS
8238	YES		TRUE		pass	pass	event	eng-30-02231473-v	throw (a ball) to another player	eng-30-00560529-n	(American football) a play that involves one player throwing the ball to a teammate	MS
8239	YES		TRUE	ZeroV	frost	frost	event	eng-30-01208400-v	cover with frost	eng-30-13485270-n	the formation of frost or ice on a surface	MS
8240	YES	ion	FALSE		palpitate	palpitation	event	eng-30-01889129-v	shake with fast, tremulous movements	eng-30-14004572-n	a shaky motion	MS
8241	YES		TRUE		overcast	overcast	event	eng-30-02770717-v	make overcast or cloudy	eng-30-14524198-n	the state of the sky when it is covered by clouds	MS
8242	YES	ion	FALSE		replicate	replication	event	eng-30-01734502-v	make or do or perform again	eng-30-01249060-n	the repetition of an experiment in order to test the validity of its conclusion	MS
8243	YES		TRUE		surtax	surtax	uses	eng-30-02308115-v	levy an extra tax on	eng-30-13315364-n	an additional tax on certain kinds of income that has already been taxed	MS
8244	YES	ise	FALSE		characterise	character	state	eng-30-02697950-v	be characteristic of	eng-30-05849284-n	a characteristic property that defines the apparent individual nature of something	MS
8245	YES	ance	FALSE		disappear	disappearance	event	eng-30-00427397-v	cease to exist	eng-30-00230172-n	gradually ceasing to be visible	MS
8246	YES		TRUE	ZeroV	fire	fire	event	eng-30-01134238-v	go off or discharge	eng-30-00986938-n	the act of firing weapons or artillery at an enemy	MS
8247	YES		TRUE	Zero	press	press	instrument	eng-30-01754105-v	create by pressing	eng-30-03999992-n	any machine that exerts pressure to form or shape or cut materials or extract liquids or compress solids	MS
8248	YES		TRUE	ZeroV	brief	brief	undergoer	eng-30-00831273-v	give essential information to someone	eng-30-06468640-n	a condensed written summary or abstract	MS
8249	YES	ion	FALSE		excogitate	excogitation	event	eng-30-01632411-v	come up with (an idea, plan, explanation, theory, or principle) after a mental effort	eng-30-05633385-n	the creation of something in the mind	MS
8250	YES		TRUE		heat	heat	result	eng-30-00372665-v	gain heat or get hot	eng-30-05725527-n	the sensation caused by heat energy	MS
8251	YES	er	FALSE		believe	believer	agent	eng-30-00684273-v	follow a credo; have a faith; be a believer	eng-30-09847727-n	a person who has religious faith	MS
8252	YES		TRUE	Zero	spring	spring	event	eng-30-01963942-v	move forward by leaps and bounds	eng-30-00120202-n	a light, self-propelled movement upwards or forwards	MS
8254	YES		TRUE	ZeroV	preamble	preamble	event	eng-30-00902144-v	make a preliminary introduction, usually to a formal document	eng-30-06398090-n	a preliminary introduction to a statute or constitution (usually explaining its purpose)	MS
8255	YES	tion	FALSE		reduce	reduction	event	eng-30-00240131-v	make smaller	eng-30-00351638-n	the act of decreasing or reducing something	MS
8256	YES	ion	FALSE		collimate	collimation	event	eng-30-00465461-v	adjust the line of sight of (an optical instrument)	eng-30-01000276-n	the accurate adjustment of the line of sight of a telescope	MS
8257	YES		TRUE		sunburn	sunburn	event	eng-30-00104299-v	get a sunburn by overexposure to the sun	eng-30-14290534-n	a browning of the skin resulting from exposure to the rays of the sun	MS
8258	YES		TRUE	Zero	press	press	event	eng-30-01390616-v	place between two surfaces and apply weight or pressure	eng-30-00113113-n	the act of pressing; the exertion of pressure	MS
8259	YES	ation	FALSE		decline	declination	event	eng-30-02237338-v	refuse to accept	eng-30-06634239-n	a polite refusal of an invitation	MS
8260	YES		TRUE	Zero	roll	roll	event	eng-30-02198014-v	emit, produce, or utter with a deep prolonged reverberating sound	eng-30-07388816-n	the sound of a drum (especially a snare drum) beaten rapidly and continuously	MS
8261	YES		TRUE	ZeroN	wish	wish	event	eng-30-01824736-v	prefer or wish to do something	eng-30-07486229-n	a specific feeling of desire	MS
8262	YES	ation	FALSE		nitrify	nitrification	uses	eng-30-00502478-v	treat (soil) with nitrates	eng-30-13521616-n	the oxidation of ammonium compounds in dead organic material into nitrates and nitrites by soil bacteria (making nitrogen available to plants)	MS
8263	YES	ion	FALSE		manipulate	manipulation	event	eng-30-01803936-v	control (others or oneself) or influence skillfully, usually to one's advantage	eng-30-00158185-n	exerting shrewd or devious influence especially for one's own advantage	MS
8264	YES		TRUE	ZeroV	string	string	undergoer	eng-30-00190389-v	add as if on a string	eng-30-08459648-n	a sequentially ordered set of things or events or ideas in which each successive member is related to the preceding	MS
8265	YES		TRUE		plume	plume	uses	eng-30-01680132-v	deck with a plume	eng-30-01896031-n	the light horny waterproof structure forming the external covering of birds	MS
8266	YES	er	FALSE		tap	tapper	agent	eng-30-01247804-v	strike lightly	eng-30-10691600-n	a person who strikes a surface lightly and usually repeatedly	MS
8267	YES	er	FALSE		wrangle	wrangler	agent	eng-30-00774344-v	to quarrel noisily, angrily or disruptively	eng-30-10792746-n	someone who argues noisily or angrily	MS
8268	YES		TRUE	ZeroN	bid	bid	event	eng-30-02240674-v	make a serious effort to attain something	eng-30-00786887-n	an attempt to get something	MS
8269	YES		TRUE		check	check	event	eng-30-00920336-v	find out, learn, or determine with certainty, usually by making an inquiry or other effort	eng-30-00141806-n	the act of inspecting or verifying	MS
8270	YES		TRUE	ZeroV	label	label	uses	eng-30-01029852-v	assign a label to; designate with a label	eng-30-07202579-n	a brief description given for purposes of identification	MS
8271	YES	ition	FALSE		acquire	acquisition	event	eng-30-02210855-v	come into the possession of something concrete or abstract	eng-30-00077419-n	the act of contracting or assuming or acquiring possession of something	MS
8272	YES	ify	FALSE		scarify	scar	result	eng-30-01274745-v	puncture and scar (the skin), as for purposes or tribal identification or rituals	eng-30-14363483-n	a mark left (usually on the skin) by the healing of injured tissue	MS
8273	YB	ity	FALSE		rigidify	rigidity	property	eng-30-00418110-v	make rigid and set into a conventional pattern	eng-30-05023741-n	the physical property of being stiff and resisting bending	MS
8274	YES		TRUE	ZeroV	manoeuvre	manoeuvre	by-means-of	eng-30-02369390-v	act in order to achieve a certain goal	eng-30-05905152-n	a plan for attaining a particular goal	MS
8275	YES		TRUE	ZeroN	skim	skim	event	eng-30-00627824-v	read superficially	eng-30-06598746-n	reading or glancing through quickly	MS
8276	YES		TRUE	ZeroV	tiller	tiller	result	eng-30-00095595-v	grow shoots in the form of stools or tillers	eng-30-13164970-n	a shoot that sprouts from the base of a grass	MS
8277	YES		TRUE	ZeroV	martyr	martyr	undergoer	eng-30-01605021-v	kill as a martyr	eng-30-10296832-n	one who voluntarily suffers death as the penalty for refusing to renounce their religion	MS
8278	YES		TRUE	ZeroV	compromise	compromise	event	eng-30-01035380-v	settle by concession	eng-30-07179342-n	an accommodation in which both sides make concessions	MS
8279	YES		TRUE	ZeroN	biff	biff	event	eng-30-01416020-v	strike, usually with the fist	eng-30-00134780-n	(boxing) a blow with the fist	MS
8280	YES		TRUE	ZeroN	sprain	sprain	event	eng-30-00091124-v	twist suddenly so as to sprain	eng-30-14299336-n	a painful injury to a joint caused by a sudden wrenching of its ligaments	MS
8281	YES		TRUE		upgrade	upgrade	event	eng-30-00583991-v	give better travel conditions to	eng-30-05795654-n	a reservation that is improved	MS
8282	YES		TRUE	ZeroN	jump	jump	event	eng-30-00155727-v	increase suddenly and significantly	eng-30-07414222-n	a sudden and decisive increase	MS
8283	YES	er	FALSE		symbolise	symboliser	agent	eng-30-00836236-v	express indirectly by an image, form, or model; be a symbol	eng-30-10685853-n	someone skilled in the interpretation or representation of symbols	MS
8284	YES	er	FALSE		smile	smiler	agent	eng-30-00028565-v	change one's facial expression by spreading the lips, often to signal pleasure	eng-30-10614363-n	a person who smiles	MS
8285	YES	ation	FALSE		destalinise	destalinisation	event	eng-30-00569318-v	counteract the effects and policies of Stalinism	eng-30-13463656-n	social process of neutralizing the influence of Joseph Stalin by revising his policies and removing monuments dedicated to him and renaming places named in his honor	MS
8286	YES	ion	FALSE		disaffect	disaffection	state	eng-30-01823528-v	arouse hostility or indifference in where there had formerly been love, affection, or friendliness	eng-30-07502387-n	the feeling of being alienated from other people	MS
8287	YES	er	FALSE		slash	slasher	agent	eng-30-01322675-v	cut with sweeping strokes; as with an ax or machete	eng-30-10609092-n	someone who slashes another person	MS
8288	YES	ation	FALSE		galvanise	galvanisation	event	eng-30-00090513-v	stimulate (muscles) by administering a shock	eng-30-13485968-n	stimulation with a galvanic current	MS
8289	YES		TRUE	ZeroN	recap	recap	event	eng-30-01008903-v	summarize briefly	eng-30-06469377-n	a summary at the end that repeats the substance of a longer discussion	MS
8291	YES		TRUE	ZeroV	bulwark	bulwark	by-means-of	eng-30-01128071-v	defend with a bulwark	eng-30-02894605-n	a protective structure of stone or concrete; extends from shore into the water to prevent a beach from washing away	MS
8292	YES		TRUE	ZeroV	oyster	oyster	undergoer	eng-30-01383511-v	gather oysters, dig oysters	eng-30-01960459-n	marine mollusks having a rough irregular shell; found on the sea bed mostly in coastal waters	MS
8293	YES	ion	FALSE		recapitulate	recapitulation	event	eng-30-01008903-v	summarize briefly	eng-30-06469377-n	a summary at the end that repeats the substance of a longer discussion	MS
8294	YES		TRUE	ZeroV	trade	trade	event	eng-30-02260085-v	turn in as payment or part payment for a purchase	eng-30-01109687-n	an equal exchange	MS
8295	YES		TRUE	ZeroV	plot	plot	event	eng-30-00708128-v	plan secretly, usually something illegal	eng-30-05907682-n	a secret scheme to do something (especially something underhand or illegal)	MS
8296	YES	er	FALSE		publish	publisher	agent	eng-30-01745722-v	put into print	eng-30-10491575-n	the proprietor of a newspaper	MS
8297	YES	er	FALSE		stint	stinter	agent	eng-30-02225739-v	supply sparingly and with restricted quantities	eng-30-10656832-n	an economizer who stints someone with something	MS
8298	YES		TRUE	ZeroV	grass	grass	uses	eng-30-01204581-v	feed with grass	eng-30-12102133-n	narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay	MS
8299	YES		TRUE		careen	careen	event	eng-30-01884974-v	move sideways or in an unsteady way	eng-30-00348008-n	pitching dangerously to one side	MS
8300	YES	er	FALSE		vaunt	vaunter	agent	eng-30-00883226-v	show off	eng-30-09872066-n	a very boastful and talkative person	MS
8301	YES		TRUE		array	array	result	eng-30-01474209-v	lay out orderly or logically in a line or as if in a line	eng-30-07939382-n	an orderly arrangement	MS
8302	YES		TRUE	ZeroV	ice	ice	uses	eng-30-01517175-v	decorate with frosting	eng-30-07620822-n	a flavored sugar topping used to coat and decorate cakes	MS
8303	YES	ation	FALSE		visit	visitation	event	eng-30-01844048-v	come to see in an official or professional capacity	eng-30-00652069-n	an official visit for inspection or supervision	MS
8304	YES	er	FALSE		daydream	daydreamer	agent	eng-30-02418205-v	have dreamlike musings or fantasies while awake	eng-30-09993901-n	someone who indulges in idle or absentminded daydreaming	MS
8305	YES	er	FALSE		stargaze	stargazer	agent	eng-30-02133297-v	observe the stars	eng-30-09818343-n	a physicist who studies astronomy	MS
8306	YES	ion	FALSE		operate	operation	event	eng-30-02443849-v	direct or control; projects, businesses, etc.	eng-30-00409211-n	the activity of operating something (a machine or business etc.)	MS
8307	YES		TRUE		singsong	singsong	event	eng-30-02095696-v	move as if accompanied by a singsong	eng-30-07084927-n	a regular and monotonous rising and falling intonation	MS
8308	YES		TRUE	ZeroV	nose	nose	undergoer	eng-30-01424350-v	rub noses	eng-30-05598147-n	the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals	MS
8309	YES	ation	FALSE		capitalise	capitalisation	event	eng-30-01692266-v	write in capital letters	eng-30-06402425-n	writing in capital letters	MS
8310	YES	er	FALSE		shear	shearer	agent	eng-30-01320816-v	cut or cut through with shears	eng-30-10587227-n	a workman who uses shears to cut leather or metal or textiles	MS
8311	YES		TRUE	Zero	lurch	lurch	event	eng-30-01103693-v	defeat by a lurch	eng-30-07476282-n	a decisive defeat in a game (especially in cribbage)	MS
8312	YES		TRUE	ZeroV	hammer	hammer	instrument	eng-30-01416539-v	beat with or as if with a hammer	eng-30-03481172-n	a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking	MS
8313	YES	ion	FALSE		exaggerate	exaggeration	event	eng-30-00839834-v	to enlarge beyond bounds or the truth	eng-30-06758835-n	making to seem more important than it really is	MS
8314	YES		TRUE	ZeroV	rust	rust	result	eng-30-00273963-v	become destroyed by water, air, or a corrosive such as an acid	eng-30-14889479-n	a red or brown oxide coating on iron or steel caused by the action of oxygen and moisture	MS
8315	YES		TRUE	ZeroN	dither	dither	state	eng-30-01819911-v	make a fuss; be agitated	eng-30-14403772-n	an excited state of agitation	MS
8316	YES	ate	FALSE		resonate	resonance	event	eng-30-02175958-v	sound with resonance	eng-30-11477921-n	a vibration of large amplitude produced by a relatively small vibration near the same frequency of vibration as the natural frequency of the resonating system	MS
8317	YES		TRUE	ZeroN	slit	slit	result	eng-30-01559055-v	make a clean cut through	eng-30-13904843-n	a depression scratched or carved into a surface	MS
8318	YES	ion	FALSE		intonate	intonation	property	eng-30-01049737-v	recite with musical intonation; recite as a chant or a psalm	eng-30-07084166-n	rise and fall of the voice pitch	MS
8319	YES	ion	FALSE		festinate	festination	event	eng-30-00459498-v	act or move at high speed	eng-30-14313154-n	involuntary shortening of stride and quickening of gait that occurs in some diseases (e.g., Parkinson's disease)	MS
8320	YES		TRUE		speed	speed	event	eng-30-00438178-v	move faster	eng-30-00330160-n	changing location rapidly	MS
8321	YES	er	FALSE		unravel	unraveler	agent	eng-30-01520844-v	become or cause to become undone by separating the fibers or threads of	eng-30-10016954-n	a person who removes tangles; someone who takes something out of a tangled state	MS
8322	YES	ation	FALSE		fraternise	fraternisation	event	eng-30-02389927-v	be on friendly terms with someone, as if with a brother, especially with an enemy	eng-30-01081867-n	associating with others in a brotherly or friendly way; especially with an enemy	MS
8323	YES	er	FALSE		entertain	entertainer	agent	eng-30-02492198-v	provide entertainment for	eng-30-09616922-n	a person who tries to please or amuse	MS
8324	YES	ion	FALSE		correct	correction	event	eng-30-02553428-v	punish in order to gain control or enforce obedience	eng-30-01161821-n	the act of punishing	MS
8325	YES	or	FALSE		aggravate	aggravator	agent	eng-30-01820901-v	exasperate or irritate	eng-30-09778537-n	an unpleasant person who is annoying or exasperating	MS
8326	YES		TRUE	ZeroN	smudge	smudge	event	eng-30-01251928-v	make a smudge on; soil by smudging	eng-30-04694441-n	a blemish made by dirt	MS
8327	YES	er	FALSE		plasticise	plasticiser	material	eng-30-00569556-v	make plastic, as by the addition of a plasticizer	eng-30-14593162-n	a substance added to plastics or other materials to make them more pliable	MS
8328	YES		TRUE		solace	solace	uses	eng-30-01814815-v	give moral or emotional strength to	eng-30-07492655-n	the comfort you feel when consoled in times of disappointment	MS
8329	YES		TRUE		nail	nail	by-means-of	eng-30-01357831-v	attach something somewhere by means of nails	eng-30-03804744-n	a thin pointed piece of metal that is hammered into materials as a fastener	MS
8330	YES	er	FALSE		pace	pacer	agent	eng-30-02091165-v	go at a pace	eng-30-02387983-n	a horse trained to a special gait in which both feet on one side leave the ground together	MS
8331	YES	ment	FALSE		entitle	entitlement	undergoer	eng-30-02447370-v	give the right to	eng-30-05181754-n	right granted by law or contract (especially a right to benefits)	MS
8332	YES	ation	FALSE		deport	deportation	event	eng-30-02499312-v	expel from a country	eng-30-00207306-n	the expulsion from a country of an undesirable alien	MS
8333	YES		TRUE	ZeroN	output	output	result	eng-30-01622795-v	to create or manufacture a specific amount	eng-30-03860882-n	what is produced in a given time period	MS
8334	YES	er	FALSE		gulp	gulper	agent	eng-30-01202068-v	to swallow hurriedly or greedily or in one draught	eng-30-10151957-n	a drinker who swallows large amounts greedily	MS
8335	YES	ation	FALSE		condense	condensation	event	eng-30-00365188-v	compress or concentrate	eng-30-07313241-n	the process or result of becoming smaller or pressed together	MS
8336	YES		TRUE	ZeroV	charter	charter	undergoer	eng-30-02447692-v	grant a charter to	eng-30-06471737-n	a document incorporating an institution and specifying its rights; includes the articles of incorporation and the certificate of incorporation	MS
8337	YES	ion	FALSE		permeate	permeation	event	eng-30-01227235-v	penetrate mutually or be interlocked	eng-30-13534954-n	the process of permeating or infusing something with a substance	MS
8338	YES		TRUE		spiel	spiel	event	eng-30-00963155-v	speak at great length (about something)	eng-30-07013400-n	plausible glib talk (especially useful to a salesperson)	MS
8339	YES	ence	FALSE		obey	obedience	property	eng-30-02542795-v	be obedient to	eng-30-04906273-n	the trait of being willing to obey	MS
8340	YES		TRUE		ruin	ruin	event	eng-30-01564144-v	destroy completely; damage irreparably	eng-30-00217773-n	destruction achieved by causing something to be wrecked or ruined	MS
8341	YES	er	FALSE		chatter	chatterer	agent	eng-30-01037303-v	make noise as if chattering away	eng-30-09911570-n	an obnoxious and foolish and loquacious talker	MS
8342	YES		TRUE	ZeroV	corner	corner	event	eng-30-02442924-v	gain control over	eng-30-14445072-n	a temporary monopoly on a kind of commercial trade	MS
8343	YES		TRUE	ZeroV	disadvantage	disadvantage	property	eng-30-02513460-v	put at a disadvantage; hinder, harm	eng-30-05161614-n	the quality of having an inferior or less favorable position	MS
8344	YES		TRUE	ZeroN	tap	tap	event	eng-30-02188848-v	tap a telephone or telegraph wire to get information	eng-30-00654400-n	the act of tapping a telephone or telegraph line to get information	MS
8345	YES		TRUE	ZeroV	metal	metal	uses	eng-30-01603303-v	cover with metal	eng-30-14586769-n	a mixture containing two or more metallic elements or metallic and nonmetallic elements usually fused together or dissolving into each other when molten	MS
8346	YES	or	FALSE		contract	contractor	agent	eng-30-00888786-v	enter into a contractual arrangement	eng-30-09960688-n	someone (a person or firm) who contracts to build things	MS
8347	YES	ation	FALSE		profane	profanation	event	eng-30-02568065-v	violate the sacred character of a place or language	eng-30-00746587-n	blasphemous behavior; the act of depriving something of its sacred character	MS
8348	YES	er	FALSE		impair	impairer	by-means-of	eng-30-00477941-v	make imperfect	eng-30-09310460-n	an agent that impairs	MS
8349	YES		TRUE	ZeroN	beat	beat	result	eng-30-01880113-v	move rhythmically	eng-30-07086518-n	the basic rhythmic unit in a piece of music	MS
8350	YES	ation	FALSE		bother	botheration	by-means-of	eng-30-02507736-v	to cause inconvenience or discomfort to	eng-30-05830059-n	something or someone that causes trouble; a source of unhappiness	MS
8351	YES		TRUE	ZeroV	outlaw	outlaw	undergoer	eng-30-02480923-v	declare illegal; outlaw	eng-30-09977660-n	someone who has committed a crime or has been legally convicted of a crime	MS
8352	YES		TRUE	Zero	bark	bark	event	eng-30-01047596-v	speak in an unfriendly tone	eng-30-07376731-n	a noise resembling the bark of a dog	MS
8353	YES	ion	FALSE		vesiculate	vesiculation	event	eng-30-00580865-v	cause to become vesicular or full of air cells	eng-30-13573181-n	the formation of vesicles in or beneath the skin	MS
8354	YES	er	FALSE		research	researcher	agent	eng-30-00877327-v	attempt to find out in a systematically and scientific manner	eng-30-10523076-n	a scientist who devotes himself to doing research	MS
8355	YES		TRUE		slick	slick	uses	eng-30-01245986-v	make slick or smooth	eng-30-04947628-n	a slippery smoothness	MS
8356	YES	ation	FALSE		purify	purification	event	eng-30-00475819-v	make pure or free from sin or guilt	eng-30-00253070-n	a ceremonial cleansing from defilement or uncleanness by the performance of appropriate rites	MS
8357	YES		TRUE	ZeroN	throw	throw	event	eng-30-01508368-v	propel through the air	eng-30-00104539-n	the act of throwing (propelling something with a rapid movement of the arm and wrist)	MS
8358	YES		TRUE	ZeroV	border	border	location	eng-30-01466978-v	lie adjacent to another or share a boundary	eng-30-08565701-n	the boundary of a surface	MS
8359	YES	er	FALSE		trumpet	trumpeter	agent	eng-30-00857784-v	utter in trumpet-like sounds	eng-30-10171219-n	(formal) a person who announces important news	MS
8360	YES		TRUE	ZeroV	charter	charter	by-means-of	eng-30-02460619-v	hold under a lease or rental agreement; of goods and services	eng-30-06522501-n	a contract to hire or lease transportation	MS
8361	YES		TRUE	ZeroN	blow	blow	event	eng-30-01902783-v	be in motion due to some air or water current	eng-30-11465017-n	a strong current of air	MS
8362	YES		TRUE	ZeroV	hill	hill	result	eng-30-01660640-v	form into a hill	eng-30-03792334-n	(baseball) the slight elevation on which the pitcher stands	MS
8363	YES		TRUE	ZeroV	finger	finger	by-means-of	eng-30-01209678-v	examine by touch	eng-30-05566504-n	any of the terminal members of the hand (sometimes excepting the thumb)	MS
8364	YES		TRUE		fistfight	fistfight	event	eng-30-01082153-v	fight with the fists	eng-30-01173826-n	a fight with bare fists	MS
8365	YES		TRUE	ZeroV	dream	dream	undergoer	eng-30-02118242-v	experience while sleeping	eng-30-05768553-n	a series of mental images and emotions occurring during sleep	MS
8366	YES		TRUE	ZeroN	hush	hush	event	eng-30-02190188-v	become quiet or quieter	eng-30-04982478-n	(poetic) tranquil silence	MS
8367	YES		TRUE	ZeroN	pick	pick	undergoer	eng-30-00676450-v	select carefully from a group	eng-30-08387035-n	the best people or things in a group	MS
8370	YES	er	FALSE		sequence	sequencer	instrument	eng-30-00920125-v	determine the order of constituents in	eng-30-04173344-n	computer hardware that sorts data or programs into a predetermined sequence	MS
8372	YES		TRUE		ban	ban	by-means-of	eng-30-00796392-v	prohibit especially by legal means or social pressure	eng-30-06542047-n	a decree that prohibits something	MS
8373	YES	ion	FALSE		mutate	mutation	undergoer	eng-30-00119873-v	undergo mutation	eng-30-10341660-n	(biology) an organism that has characteristics resulting from chromosomal alteration	MS
8374	YES		TRUE	Zero	fret	fret	event	eng-30-01793933-v	worry unnecessarily or excessively	eng-30-14403560-n	agitation resulting from active worry	MS
8376	YES		TRUE	ZeroN	heave	heave	event	eng-30-00077458-v	make an unsuccessful effort to vomit; strain to vomit	eng-30-00226951-n	an involuntary spasm of ineffectual vomiting	MS
8377	YES	er	FALSE		play	player	agent	eng-30-01072949-v	participate in games or sport	eng-30-10440387-n	an important participant (as in a business deal)	MS
8378	YES	ion	FALSE		excruciate	excruciation	event	eng-30-00071178-v	subject to torture	eng-30-00422551-n	the infliction of extremely painful punishment or suffering	MS
8379	YES	tion	FALSE		reproduce	reproduction	event	eng-30-00055142-v	have offspring or produce more individuals of a given animal or plant	eng-30-00849523-n	the sexual activity of conceiving and bearing offspring	MS
8380	YES	ment	FALSE		enfeoff	enfeoffment	by-means-of	eng-30-02363371-v	put in possession of land in exchange for a pledge of service, in feudal society	eng-30-06545960-n	under the feudal system, the deed by which a person was given land in exchange for a pledge of service	MS
8381	YES	er	FALSE		reason	reasoner	agent	eng-30-00632627-v	think logically	eng-30-10510339-n	someone who reasons logically	MS
8382	YES	ation	FALSE		cite	citation	undergoer	eng-30-01024190-v	make reference to	eng-30-06763681-n	a short note recognizing a source of information or of a quoted passage	MS
8383	YES	ion	FALSE		extenuate	extenuation	event	eng-30-00906037-v	lessen or to try to lessen the seriousness or extent of	eng-30-00354583-n	to act in such a way as to cause an offense to seem less serious	MS
8384	YES		TRUE	ZeroV	matter	matter	event	eng-30-02645839-v	have weight; have import, carry weight	eng-30-05169242-n	(used with negation) having consequence	MS
8385	YES	ion	FALSE		syndicate	syndication	event	eng-30-02243758-v	sell articles, television programs, or photos to several publications or independent broadcasting stations	eng-30-01115348-n	selling (an article or cartoon) for publication in many magazines or newspapers at the same time	MS
8386	YES	tion	FALSE		adjoin	adjunction	event	eng-30-01205696-v	be in direct physical contact with; make contact	eng-30-00147454-n	an act of joining or adjoining things	MS
8387	YES	ify	FALSE		exemplify	example	event	eng-30-01021128-v	clarify by giving an example of	eng-30-07308889-n	an occurrence of something	MS
8388	YES		TRUE	ZeroV	muff	muff	event	eng-30-02529896-v	fail to catch, as of a ball	eng-30-00075912-n	(sports) dropping the ball	MS
8389	YES	tion	FALSE		perceive	perception	event	eng-30-02106506-v	to become aware of through the senses	eng-30-00876874-n	becoming aware of something via the senses	MS
8390	YES	ence	FALSE		transcend	transcendence	state	eng-30-02669081-v	be superior or better than some standard	eng-30-13950440-n	the state of excelling or surpassing or going beyond usual limits	MS
8391	YES	tion	FALSE		solve	solution	event	eng-30-00634906-v	find the solution to (a problem or question) or understand the meaning of	eng-30-00190783-n	the successful action of solving a problem	MS
8392	YES	ion	FALSE		circulate	circulation	event	eng-30-02042404-v	move through a space, circuit or system, returning to the starting point	eng-30-11439031-n	movement through a circuit; especially the movement of blood through the heart and blood vessels	MS
8393	YES		TRUE	ZeroN	blow	blow	event	eng-30-02769241-v	be blowing or storming	eng-30-11465017-n	a strong current of air	MS
8394	YES	ion	FALSE		malversate	malversation	event	eng-30-02292535-v	appropriate (as property entrusted to one's care) fraudulently to one's own use	eng-30-00735832-n	misconduct in public office	MS
8395	YES		TRUE	ZeroN	twinkle	twinkle	event	eng-30-02764765-v	emit or reflect light in a flickering manner	eng-30-07411645-n	a rapid change in brightness; a brief spark or flash	MS
8396	YES	er	FALSE		garden	gardener	agent	eng-30-01740969-v	work in the garden	eng-30-10120533-n	someone who takes care of a garden	MS
8397	YES	ion	FALSE		concuss	concussion	event	eng-30-01890510-v	shake violently	eng-30-07409930-n	any violent blow	MS
8398	YES	ation	FALSE		compile	compilation	event	eng-30-02304982-v	get or gather together	eng-30-01014731-n	the act of compiling (as into a single book or file or list)	MS
8399	YES		TRUE	ZeroN	drawl	drawl	result	eng-30-00980176-v	lengthen and slow down or draw out	eng-30-07131741-n	a slow speech pattern with prolonged vowels	MS
8400	YES		TRUE	Zero	grate	grate	uses	eng-30-02330583-v	furnish with a grate	eng-30-03454536-n	a frame of iron bars to hold a fire	MS
8401	YES		TRUE		distrust	distrust	property	eng-30-00687926-v	regard as untrustworthy; regard with suspicion; have no faith or confidence in	eng-30-04895773-n	the trait of not trusting others	MS
8402	YES	ion	FALSE		formulate	formulation	event	eng-30-00980453-v	put into words or an expression	eng-30-07069948-n	the style of expressing yourself	MS
8403	YES	ation	FALSE		deform	deformation	event	eng-30-01584875-v	make formless	eng-30-07358060-n	alteration in the shape or dimensions of an object as a result of the application of stress to it	MS
8404	YES	er	FALSE		scare	scarer	by-means-of	eng-30-01779165-v	cause fear in	eng-30-04143712-n	an effigy in the shape of a man to frighten birds away from seeds	MS
8405	YES	er	FALSE		believe	believer	agent	eng-30-00683280-v	accept as true; take to be true	eng-30-09848489-n	a supporter who accepts something as true	MS
8406	YES	ion	FALSE		suppurate	suppuration	event	eng-30-00097179-v	cause to ripen and discharge pus	eng-30-13479889-n	(medicine) the formation of morbific matter in an abscess or a vesicle and the discharge of pus	MS
8407	YES		TRUE	ZeroN	straggle	straggle	event	eng-30-02066304-v	wander from a direct or straight course	eng-30-07939159-n	a wandering or disorderly grouping (of things or persons)	MS
8408	YES		TRUE		annex	annex	undergoer	eng-30-01329141-v	attach to	eng-30-02713594-n	an addition that extends a main building	MS
8409	YES		TRUE	ZeroV	skid	skid	event	eng-30-01870867-v	slide without control	eng-30-00329031-n	an unexpected slide	MS
8411	YES	er	FALSE		soak	soaker	by-means-of	eng-30-00216216-v	cover with liquid; pour liquid onto	eng-30-11502102-n	a heavy rain	MS
